30.5,593,282,213,34.5,79,99,26.5,72.5,213,135,949.5,315,276.5,1555,151.5,565,608,1939,175,438,430
20.21,24.87,22.1,15.38,19.24,22.9,19.21,22.644,19.63,20.19,15.08,24.193,17.89,23.44,29,23,23.54,22.72,29.67,27.39,23.24,27.75
379,703,688,27.5,147,549,80.5,1164,30.5,393,129,816,194,858,1636,473,875,644.5,1207,602,543,697
9.21,8.92,13.25,6.45,12.84,12.89,9.1,11.77,8.22,10.41,6.24,14.355,7.405,10.602,7.6009,9.04,11.45,12.384,8.25,10,6.9,11.06
79.5,309,709,113,599,9,395,699,338,839.5,126.5,743,4.5,769.5,1410,652,1888,413.5,1995,1230,907,828
0.016,0.005,0.0156,0.0101,0.0158,0.017,0.0048,0.0141,0.0058,0.0163,0.0096,0.0166,0.0098,0.0121,0.0073,0.007,0.012,0.0132,0.0079,0.0189,0.0077,0.0098
28,29,527,319,207,85,139,1074,38.5,16.5,99,836,204,36.5,1390,669,2078,633.5,2036,1095,362,354
234,453,320,137,307,182,300.73,233.36,378.93,274.8768,173.3841,364.0667,104.4435,204.5806,142.427,135.7974,117.3082,80.1007,102.68,283.37,73.35,259.7826
5.1446,34.0769,31.5135,6.8044,27.9552,17.51,9.0078,23.76,16.12,21.645,9.73,37.699,23.55,37.699,45.67,26.0114,67.29,33.93,42.02,23.22,33.3408,33.34
146,1319,1211,488.5,99.5,403,309.5,497,131,63.5,192.5,1455.5,497,1455,2825.5,708.5,687.5,3967.5,3673.5,1147,426,426
0.1032,0.4456,0.4293,0.1458,0.2789,0.3137,0.2115,0.22,0.2684,0.1725,0.1943,0.42,0.2015,0.42,0.2603,0.2139,0.6299,0.5189,0.2252,0.2703,0.5947,0.5947
121.5,1542,775,416.5,300.5,124.5,186,498,223.5,340,202,965.5,514,965.5,3647,922.5,1210.5,2802,4065,1026,384,384
0,0.0575,0.071,0.0153,0.0518,0.0289,0,0.0538,0.0263,0.0492,0,0.0791,0.0652,0.0791,0.0379,0.0619,0.2034,0.084,0.0102,0.0409,0.0929,0.0929
1033.5,2602,619,1245.5,282.5,1709,6325,1128,988.5,315,234,156.5,1857.5,156.5,2295,583.5,1102.5,543,4254,649.5,1502.5,1502.5